Freedom of Expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,América Móvil,,,Apple,,,,AT&T,,,,Axiata,,,Baidu,,,,Bharti Airtel,,,,Etisalat,,,,Facebook,,,,,Google,,,,,Kakao,,,,Mail.Ru,,,,Microsoft,,,,MTN,,,Ooredoo,,,,Orange,,,,Samsung,,Telefónica,,,,TenCent,,,,Twitter,,,,Vodafone,,,,Yahoo,,,,Yandex,,
F1,F1. Access to terms of service,Prepaid Mobile,Postpaid Mobile,,iOS mobile ecosystem,iMessage,iCloud,,Prepaid Mobile (GoPhone),Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,,Baidu Search,Baidu Cloud,Baidu PostBar,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Facebook,Instagram,WhatsApp,Messenger,,Search,Gmail,Youtube,Android mobile ecosystem,,Daum Search,Daum Mail,Kakao Talk,,Vkontakte,Mail.Ru,Mail.Ru Agent,,Bing,Outlook.com,Skype,,Prepaid Mobile,Postpaid Mobile,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Samsung implementation of Android,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,QZone,QQ,WeChat,,Twitter,Vine,Periscope,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Yahoo Mail,Flickr,Tumblr,,Yandex Mail,Yandex Search,Yandex Disk (cloud storage)
1,Are the company’s terms of service easy to find?,50,50,,50,0,100,,100,50,50,,100,100,,0,100,100,,50,50,50,,50,50,50,,100,100,100,100,,100,100,100,50,,100,100,100,,100,50,50,,100,100,100,,50,50,,100,100,100,,100,100,100,,0,,100,100,50,,50,50,100,,100,100,100,,50,50,50,,100,100,100,,100,100,100
2,Are the terms of service available in the language(s) most commonly spoken by the company’s users?,100,100,,50,100,100,,100,100,100,,0,0,,100,100,100,,100,100,100,,100,100,100,,100,0,100,100,,100,100,50,100,,100,100,100,,100,100,100,,100,100,100,,0,0,,100,100,100,,100,100,100,,100,,100,100,100,,100,100,100,,100,0,0,,100,100,100,,100,100,50,,100,100,100
3,Are the terms of service are presented in an understandable manner?,50,50,,50,50,50,,50,100,100,,100,50,,50,50,50,,0,0,0,,100,100,100,,100,100,100,100,,100,100,100,50,,50,50,50,,50,50,50,,100,100,100,,50,50,,100,100,100,,0,0,0,,0,,50,50,50,,50,50,50,,100,100,100,,100,100,100,,50,50,100,,50,50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,66.67,66.67,,50,50,83.33333333,,83.33333333,83.33333333,83.33333333,,66.66666667,50,,50,83.33333333,83.33333333,,50,50,50,,83.33333333,83.33333333,83.33333333,,100,66.66666667,100,100,,100,100,83.33333333,66.66666667,,83.33333333,83.33333333,83.33333333,,83.33333333,66.66666667,66.66666667,,100,100,100,,33.33333333,33.33333333,,100,100,100,,66.66666667,66.66666667,66.66666667,,33.33333333,,83.33333333,83.33333333,66.66666667,,66.66666667,66.66666667,83.33333333,,100,66.66666667,66.66666667,,83.33333333,83.33333333,83.33333333,,83.33333333,83.33333333,83.33333333,,83.33333333,83.33333333,83.33333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,F2. Changes to terms of service,Prepaid Mobile,Postpaid Mobile,,iOS mobile ecosystem,iMessage,iCloud,,Prepaid Mobile (GoPhone),Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,,Baidu Search,Baidu Cloud,Baidu PostBar,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Facebook,Instagram,WhatsApp,Messenger,,Search,Gmail,Youtube,Android mobile ecosystem,,Daum Search,Daum Mail,Kakao Talk,,Vkontakte,Mail.Ru,Mail.Ru Agent,,Bing,Outlook.com,Skype,,Prepaid Mobile,Postpaid Mobile,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Samsung implementation of Android,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,QZone,QQ,WeChat,,Twitter,Vine,Periscope,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Yahoo Mail,Flickr,Tumblr,,Yandex Mail,Yandex Search,Yandex Disk (cloud storage)
1,Does the company clearly disclose that it notifies users about changes to its terms of service?,50,50,,0,0,100,,100,100,100,,0,0,,0,0,0,,0,0,0,,0,0,0,,100,100,50,100,,100,100,50,50,,100,100,100,,0,0,0,,100,100,100,,50,50,,50,50,50,,0,0,50,,100,,100,100,100,,0,0,0,,50,100,50,,0,50,50,,0,0,100,,0,0,0
2,Does the company clearly disclose how it will directly notify users of changes?,50,50,,0,0,100,,50,50,50,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,50,,100,100,50,,0,0,0,,0,100,100,,50,50,,0,0,0,,0,0,0,,100,,0,0,50,,0,0,0,,50,50,0,,50,0,0,,50,50,100,,0,0,0
3,Does the company clearly disclose the timeframe within which it provides notification prior to changes coming into effect?,50,50,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,100,100,0,50,,100,100,100,,0,0,0,,0,0,0,,50,50,,0,0,0,,0,0,100,,100,,100,100,100,,0,0,0,,0,0,0,,0,50,50,,0,0,100,,0,0,0
4,Does the company maintain a public archive or change log?,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,100,100,0,,100,100,0,50,,100,100,100,,0,0,0,,50,50,50,,0,0,,0,0,0,,0,0,0,,50,,100,100,100,,0,0,0,,50,0,0,,50,50,50,,0,0,100,,100,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,37.5,37.5,,0,0,50,,37.5,37.5,37.5,,0,0,,0,0,0,,0,0,0,,0,0,0,,25,50,37.5,25,,75,75,12.5,50,,100,100,87.5,,0,0,0,,37.5,62.5,62.5,,37.5,37.5,,12.5,12.5,12.5,,0,0,37.5,,87.5,,75,75,87.5,,0,0,0,,37.5,37.5,12.5,,25,37.5,37.5,,12.5,12.5,100,,25,25,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
