Freedom of Expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,América Móvil,,,Apple,,,,AT&T,,,,Axiata,,,Baidu,,,,Bharti Airtel,,,,Etisalat,,,,Facebook,,,,,Google,,,,,Kakao,,,,Mail.Ru,,,,Microsoft,,,,MTN,,,Orange,,,,Ooredoo,,,,Samsung,,Telefónica,,,,TenCent,,,,Twitter,,,Vodafone,,,,Oath (Yahoo),,,,Yandex,,
F1,F1. Access to terms of service,Prepaid Mobile,Postpaid Mobile,,iOS mobile ecosystem,iMessage,iCloud,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,,Baidu Search,Baidu Cloud,Baidu PostBar,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Facebook,Instagram,WhatsApp,Messenger ecosystem,,Search,Gmail,Youtube,Android mobile ecosystem,,Daum Search,Daum Mail,KakaoTalk,,VKontakte,Mail.ru email,Mail.ru Agent,,Bing,Outlook.com,Skype,,Prepaid Mobile,Postpaid Mobile,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Samsung,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,QZone,QQ,WeChat,,Twitter,Periscope,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Yahoo Mail,Flickr,Tumblr,,Yandex Mail ecosystem,Yandex Search,Yandex Disk
1,1. Are the company’s terms of service easy to find?,50,50,,50,0,100,,100,50,50,,100,100,,0,100,100,,50,50,50,,50,50,50,,100,100,100,100,,100,100,100,50,,100,100,100,,100,50,50,,100,50,100,,50,50,,100,100,100,,100,100,100,,50,,50,50,50,,50,50,100,,100,100,,50,50,50,,100,100,100,,50,50,100
2,2. Are the terms of service available in the language(s) most commonly spoken by the company’s users?,100,100,,50,100,100,,100,100,100,,0,50,,100,100,100,,100,100,100,,100,100,100,,100,0,100,100,,100,100,50,50,,100,100,100,,100,100,100,,100,100,100,,0,0,,100,100,100,,100,100,100,,100,,100,100,100,,100,100,100,,100,50,,100,100,100,,100,100,50,,100,100,100
3,3. Are the terms of service are presented in an understandable manner?,50,50,,50,50,50,,50,100,100,,50,50,,50,50,50,,0,0,0,,100,100,100,,100,100,100,100,,100,100,100,50,,50,50,50,,50,50,50,,100,100,100,,50,50,,0,0,0,,100,100,100,,0,,50,50,50,,50,50,50,,100,100,,100,100,100,,50,50,100,,50,50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,67,67,,50,50,83,,83,83,83,,50,67,,50,83,83,,50,50,50,,83,83,83,,100,67,100,100,,100,100,83,50,,83,83,83,,83,67,67,,100,83,100,,33,33,,67,67,67,,100,100,100,,50,,67,67,67,,67,67,83,,100,83,,83,83,83,,83,83,83,,67,67,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,F2. Changes to terms of service,Prepaid Mobile,Postpaid Mobile,,iOS mobile ecosystem,iMessage,iCloud,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,,Baidu Search,Baidu Cloud,Baidu PostBar,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Facebook,Instagram,WhatsApp,Messenger ecosystem,,Search,Gmail,Youtube,Android mobile ecosystem,,Daum Search,Daum Mail,KakaoTalk,,VKontakte,Mail.ru email,Mail.ru Agent,,Bing,Outlook.com,Skype,,Prepaid Mobile,Postpaid Mobile,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Samsung,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,QZone,QQ,WeChat,,Twitter,Periscope,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Yahoo Mail,Flickr,Tumblr,,Yandex Mail ecosystem,Yandex Search,Yandex Disk
1,1. Does the company clearly disclose that it notifies users about changes to its terms of service?,50,50,,0,0,50,,100,100,100,,0,0,,0,0,0,,0,0,0,,0,0,0,,100,100,50,100,,100,50,50,50,,100,100,100,,0,0,0,,100,100,100,,100,50,,0,0,50,,50,50,50,,100,,100,100,100,,0,0,0,,50,50,,50,50,50,,0,0,100,,0,0,0
2,2. Does the company clearly disclose how it will directly notify users of changes?,50,50,,0,0,0,,50,50,50,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,50,0,0,,0,0,0,50,,100,100,50,,0,0,0,,0,100,100,,0,50,,0,0,0,,0,0,0,,100,,0,0,50,,0,0,0,,50,50,,50,0,0,,50,50,100,,0,0,0
