Privacy Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,América Móvil,,,Apple,,,,AT&T,,,,Axiata,,,Baidu,,,,Bharti Airtel,,,,Etisalat,,,,Facebook,,,,,Google,,,,,Kakao,,,,Mail.Ru,,,,Microsoft,,,,MTN,,,Ooredoo,,,,Orange,,,,Samsung,,Telefónica,,,,TenCent,,,,Twitter,,,,Vodafone,,,,Yahoo,,,,Yandex,,
P1,P1. Access to privacy policies,Prepaid Mobile,Postpaid Mobile,,iOS mobile ecosystem,iMessage,iCloud,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,,Baidu Search,Baidu Cloud,Baidu PostBar,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Facebook,Instagram,WhatsApp,Messenger,,Search,Gmail,Youtube,Android mobile ecosystem,,Daum Search,Daum Mail,Kakao Talk,,Vkontakte,Mail.Ru,Mail.Ru Agent,,Bing,Outlook.com,Skype,,Prepaid Mobile,Postpaid Mobile,,Prepaid Mobile,Postpaid Mobile,,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Samsung implementation of Android,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,QZone,QQ,WeChat,,Twitter,Vine,Periscope,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Yahoo Mail,Flickr,Tumblr,,Yandex Mail,Yandex Search,Yandex Disk (cloud storage)
1,Are the company’s privacy policies easy to find?,100,100,,100,100,100,,100,100,100,,100,100,,100,100,100,,100,100,100,,0,0,0,,100,100,100,100,,100,100,100,100,,100,100,100,,100,0,0,,100,100,100,,50,50,,0,0,,,100,100,100,,50,,100,100,100,,50,50,50,,100,100,100,,100,100,100,,100,100,100,,100,100,100
2,Are the privacy policies available in the language(s) most commonly spoken by the company’s users?,100,100,,100,100,100,,100,100,100,,100,100,,100,100,100,,0,0,0,,0,0,0,,100,0,100,100,,100,100,100,100,,100,100,100,,100,0,0,,100,100,100,,0,0,,0,0,,,100,100,100,,100,,100,100,100,,100,100,100,,100,0,0,,100,100,100,,100,100,0,,100,100,100
3,Are the policies presented in an understandable manner?,50,50,,100,100,100,,100,100,100,,50,50,,50,50,50,,0,0,0,,0,0,0,,100,100,100,100,,100,100,100,100,,100,100,100,,50,0,0,,100,100,100,,50,50,,0,0,,,100,100,100,,100,,100,100,100,,100,100,100,,100,100,100,,100,100,100,,100,100,100,,50,50,50
4,(For mobile ecosystems): Does the company disclose that it requires apps made available through its app store to provide users with a privacy policy?,exclude,exclude,,0,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,exclude,,exclude,exclude,exclude,0,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,,exclude,exclude,,,exclude,exclude,exclude,,0,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,83.33,83.33,,75,100,100,,100,100,100,,83.33,83.33,,83.33,83.33,83.33,,33.33,33.33,33.33,,0,0,0,,100,66.67,100,100,,100,100,100,75,,100,100,100,,83.33,0,0,,100,100,100,,33.33,33.33,,0,0,,,100,100,100,,62.5,,100,100,100,,83.33,83.33,83.33,,100,66.67,66.67,,100,100,100,,100,100,66.67,,83.33,83.33,83.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,P2. Changes to privacy policies,Prepaid Mobile,Postpaid Mobile,,iOS mobile ecosystem,iMessage,iCloud,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,,Baidu Search,Baidu Cloud,Baidu PostBar,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Facebook,Instagram,WhatsApp,Messenger,,Search,Gmail,Youtube,Android mobile ecosystem,,Daum Search,Daum Mail,Kakao Talk,,Vkontakte,Mail.Ru,Mail.Ru Agent,,Bing,Outlook.com,Skype,,Prepaid Mobile,Postpaid Mobile,,Prepaid Mobile,Postpaid Mobile,,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Samsung implementation of Android,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,QZone,QQ,WeChat,,Twitter,Vine,Periscope,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Yahoo Mail,Flickr,Tumblr,,Yandex Mail,Yandex Search,Yandex Disk (cloud storage)
1,Does the company clearly disclose that it notifies users about changes to its privacy policies?,0,0,,50,50,50,,100,100,100,,0,0,,100,100,100,,0,0,0,,0,0,0,,100,50,100,100,,100,100,100,100,,100,100,100,,0,0,0,,100,100,100,,0,0,,0,0,,,0,0,0,,100,,0,0,0,,100,100,100,,100,100,50,,0,0,0,,50,50,100,,0,0,0
