,type,Total,Governance,Freedom of Expression,Privacy
Google,Internet,60.42,72.38,50.56,61.37
Microsoft,Internet,57.92,88.15,44.20,54.71
Yahoo,Internet,57.16,88.24,41.91,54.42
Facebook,Internet,54.84,80.43,48.73,49.36
Twitter,Internet,54.02,45.79,61.36,53.09
Vodafone,Telco,50.29,83.61,41.13,43.67
Kakao,Internet,47.13,34.81,49.55,50.03
AT&T,Telco,44.11,50.12,34.24,48.94
Apple,Internet,43.66,33.06,29.79,54.13
Telefónica,Telco,40.70,77.04,32.92,31.87
Orange,Telco,33.35,75.74,16.76,28.56
Samsung,Internet,27.88,32.41,22.02,29.29
Yandex,Internet,25.01,6.90,19.03,34.03
TenCent,Internet,22.62,6.94,14.26,32.02
América Móvil,Telco,21.48,20.83,17.42,24.72
Mail.Ru,Internet,21.11,7.08,22.19,25.25
Baidu,Internet,16.37,5.00,12.50,22.10
MTN,Telco,16.40,38.24,12.46,10.56
Bharti Airtel,Telco,14.72,16.94,8.94,18.06
Axiata,Telco,13.79,5.28,12.23,18.33
Etisalat,Telco,8.33,6.67,15.28,3.89
Ooredoo,Telco,5.09,1.67,13.91,0.00
