Category,Cloud,,,,,,,,,
Company,Apple,Baidu,Yandex,,,,,,,
Service,iCloud,Baidu Cloud,Yandex Disk (cloud storage),,,,,,,
Total,41,17,27,,,,,,,
Difference,3,3,-1,,,,,,,
G,26,4,6,,,,,,,
FoE,37,16,25,,,,,,,
P,48,22,35,,,,,,,
,,,,,,,,,,
Category,Email,,,,,,,,,
Company,Google,Kakao,Mail.ru,Microsoft,Yahoo,Yandex,,,,
Service,Gmail,Kakao Mail,Mail.ru email,Outlook.com,Yahoo Mail,Yandex Mail,,,,
Total,63,51,23,63,56,27,,,,
Difference,-2,-3,0,-2,-3,-1,,,,
G,70,28,7,88,77,6,,,,
FoE,51,69,38,52,28,22,,,,
P,64,52,24,58,58,35,,,,
,,,,,,,,,,
Category,Fixed Line Broadband,,,,,,,,,
Company,Vodafone,Telefónica,Orange,Ooredoo,Etisalat,Bharti Airtel,AT&T,,,
Service,Fixed line broadband (Vodafone UK),Fixed line broadband (Movistar),fixed line broadband (Orange France),fixed line broadband (Ooredoo Qatar),Fixed line broadband (Etisalat UAE),Fixed line broadband (Airtel India),Fixed line broadband (AT&T),,,
Total,47,36,34,5,8,15,47,,,
Difference,0,2,1,0,0,0,1,,,
G,85,67,77,2,7,14,61,,,
FoE,39,28,19,15,16,12,35,,,
P,37,29,27,0,4,18,49,,,
Category,Messaging and VoIP,,,,,,,,,
Company,Microsoft,Facebook,Facebook,Kakao,Mail.ru,Tencent,Tencent,Apple,,
Service,Skype,Messenger,WhatsApp,Kakao Talk,Mail.ru Agent messaging,QQ,WeChat,iMessage,,
Total,57,56,54,49,19,24,25,39,,
Difference,-2,0,0,-1,0,1,2,4,,
G,88,81,80,28,7,6,8,26,,
FoE,38,41,47,53,25,16,16,26,,
P,57,54,49,52,20,34,34,50,,
Category,Mobile Ecosystems,,,,,,,,,
Company,Microsoft,Apple,Samsung,,,,,,,
Service,Android mobile ecosystem,iOS mobile ecosystem,Samsung implementation of Android,,,,,,,
Total,57,38,25,,,,,,,
Difference,1,5,-1,,,,,,,
G,69,27,32,,,,,,,
FoE,47,27,22,,,,,,,
P,59,48,24,,,,,,,
,,,,,,,,,,
Category,Search Engines,,,,,,,,,
Company,Yandex,Microsoft,Kakao,Google,Baidu,,,,,
Service,Yandex Search,Bing,Kakao Search,Search,Baidu Search,,,,,
Total,26,63,45,68,16,,,,,
Difference,-1,-1,-2,0,4,,,,,
G,8,88,35,73,4,,,,,
FoE,21,66,47,69,8,,,,,
P,34,53,48,65,23,,,,,
,,,,,,,,,,
Category,Social Networking and Blog,,,,,,,,,
Company,Twitter,Yahoo,Facebook,Mail.ru,Tencent,Baidu,,,,
Service,Twitter,Tumblr,Facebook,Vkontakte,QZone,Baidu PostBar,,,,
Total,63,54,54,23,20,18,,,,
Difference,0,-6,0,-2,-1,4,,,,
G,46,79,81,7,7,7,,,,
FoE,72,58,38,16,13,13,,,,
P,63,44,53,32,27,23,,,,
,,,,,,,,,,
Category,Video and Photo Sharing,,,,,,,,,
Company,Yahoo,Twitter,Facebook,Google,,,,,,
Service,Flickr,Periscope,Instagram,Youtube,,,,,,
Total,55,44,48,64,,,,,,
Difference,-2,3,1,-4,,,,,,
G,77,43,82,72,,,,,,
FoE,37,51,47,60,,,,,,
P,56,41,38,64,,,,,,
,,,,,,,,,,
Category,Pre and Postpaid Mobile,,,,,,,,,
Company,América Móvil,AT&T,Axiata,Bharti Airtel,Etisalat,MTN,Ooredoo,Orange,Telefónica,Vodafone
Service,Mobile Service (Telcel),Mobile service (AT&T),Mobile service (Telcel),Mobile service (Airtel India),Mobile service (Etisalat UAE),mobile service (MTN SA),mobile service (Ooredoo Qatar),mobile service (orange france),mobile service (Movistar),mobile service (Vodafone UK)
Total,21,48,14,14,8,16,5,32,36,49
Difference,0,-1,1,1,0,1,0,1,2,0
G,21,61,5,14,7,32,2,77,67,85
FoE,16,41,12,7,16,13,14,15,28,46
P,24,49,18,18,4,11,0,27,29,37
